ticker,date,sector,pct_positive,pct_negative,pct_neutral,sentiment_score,uncertainty_rate,call_date,actual_date,CAR+1,CAR+5,CAR+10,CAR+20,CAR-1,CAR-5,CAR-10,event_day_CAR,label
NVDA,2024-05-22,Technology,0.4,0.04,0.56,0.36,3.2394,2024-05-22,2024-05-22,0.100501,0.177398,0.265218,0.302104,-0.001692,0.003287,0.025752,0.100501,1
NVDA,2024-08-28,Technology,0.4,0.0133,0.5867,0.3867,3.5866,2024-08-28,2024-08-28,-0.063938,-0.13092,-0.052842,-0.040635,-0.015161,-0.018352,0.037011,-0.063938,0
NVDA,2024-11-20,Technology,0.4,0.0267,0.5733,0.3733,4.0709,2024-11-20,2024-11-20,-2.2e-05,-0.086421,-0.032987,-0.096743,-0.007958,0.008604,0.002836,-2.2e-05,0
NVDA,2025-02-26,Technology,0.3933,0.0467,0.56,0.3467,4.4866,2025-02-26,2025-02-26,-0.068819,-0.087181,-0.058296,-0.092605,0.036216,-0.027096,0.006347,-0.068819,0
PFE,2023-05-02,Healthcare,0.4267,0.0733,0.5,0.3533,7.4861,2023-05-02,2023-05-02,-0.008753,-0.015068,-0.040795,-0.033156,0.007414,-0.018587,-0.028609,-0.008753,0
PFE,2023-08-01,Healthcare,0.4467,0.0867,0.4667,0.36,9.1586,2023-08-01,2023-08-01,0.006609,0.017776,0.023593,0.0312,-0.009618,-0.030704,-0.011479,0.006609,1
PFE,2023-10-31,Healthcare,0.34,0.1267,0.5333,0.2133,5.5561,2023-10-31,2023-10-31,-0.012301,-0.022209,-0.102634,-0.0895,-0.005953,0.01709,-0.026001,-0.012301,0
PFE,2024-01-30,Healthcare,0.4533,0.1267,0.42,0.3267,5.3103,2024-01-30,2024-01-30,0.018538,0.01147,-0.008349,-0.03057,-0.015966,-0.04773,-0.065151,0.018538,0
PFE,2024-05-01,Healthcare,0.56,0.0867,0.3533,0.4733,7.1353,2024-05-01,2024-05-01,0.009778,0.006447,0.01751,0.008686,0.064137,0.044652,0.069636,0.009778,1
PFE,2024-07-30,Healthcare,0.6067,0.02,0.3733,0.5867,5.2351,2024-07-30,2024-07-30,-0.043333,-0.029321,-0.080991,-0.117962,0.026876,0.100357,0.119555,-0.043333,0
PFE,2024-10-29,Healthcare,0.5,0.0,0.5,0.5,5.3732,2024-10-29,2024-10-29,0.005133,-0.0078,-0.091474,-0.112907,-0.015478,-0.010519,-0.03672,0.005133,0
PFE,2025-02-04,Healthcare,0.5533,0.0333,0.4133,0.52,6.993,2025-02-04,2025-02-04,0.017979,-0.019008,-0.017755,0.033814,-0.019304,-0.028365,-0.010744,0.017979,0
PFE,2024-04-29,Healthcare,0.56,0.0467,0.3933,0.5133,9.1898,2024-04-29,2024-04-29,0.015061,0.085521,0.10466,0.081669,0.005907,-0.044302,-0.021542,0.015061,1
PFE,2025-08-05,Healthcare,0.6067,0.0067,0.3867,0.6,6.0505,2025-08-05,2025-08-05,-0.040791,-0.027481,0.004176,-0.023496,0.056919,0.029994,0.00289,-0.040791,1
PFE,2025-11-04,Healthcare,0.58,0.0533,0.3667,0.5267,6.5782,2025-11-04,2025-11-04,0.009292,0.056788,0.088218,0.057982,-0.002745,0.00904,-0.028017,0.009292,1
